Date,Close,High,Low,Open,Volume
2025-01-02,169087.03125,170074.68914281542,167901.8417786215,168395.67072502922,2102175
2025-01-03,179654.984375,180445.11074938154,170963.5942568032,172346.31541197086,4233446
2025-01-06,197334.046875,197334.046875,182124.11533408408,182124.11533408408,7320382
2025-01-07,192593.28125,203951.3465544872,192395.74967948717,202469.85977564103,6075445
2025-01-08,192297.015625,195655.05287782487,188642.6809675141,190716.76280014124,4275792
2025-01-09,202469.859375,203457.51722560974,197334.03855182926,198519.22797256097,6692254
2025-01-10,200988.390625,209877.3120777027,200000.73268581083,205432.85135135136,6149475
2025-01-13,191901.9375,200494.56156716417,191506.8743244982,200494.56156716417,4767294
2025-01-14,192593.28125,195457.48902243588,191210.56025641024,191901.92075320514,3019149
2025-01-15,195753.78125,198519.2231647326,195259.9523366549,195556.24968466198,3620460
2025-01-16,207408.15625,207408.15625,203951.35364583333,205926.66941964286,6029645
2025-01-17,211852.625,214815.59877622378,206420.5064102564,206914.33537296037,5041329
2025-01-20,209383.46875,216297.07385023584,207901.9819428066,216297.07385023584,3036234
2025-01-21,215309.4375,217284.75344036697,211358.80561926606,213827.95054472476,3323212
2025-01-22,222716.84375,224198.33051552105,214321.75207871397,218766.21237527716,5901740
2025-01-23,216790.921875,222716.86962556947,212346.4610620729,218272.40881264236,5994781
2025-01-24,218272.390625,224198.33788178733,214815.5880585407,217778.56168693438,3771572
2025-01-31,196741.484375,201976.07206168422,192395.788936998,194568.636655999,11871995
2025-02-03,188543.90625,190815.51957831325,184593.2743746726,189136.5010312991,7926444
2025-02-04,188741.40625,191901.91122121926,187753.748446494,190519.19029631084,5851146
2025-02-05,196346.390625,196938.9853653169,189531.55111135563,189531.55111135563,4245118
2025-02-06,200988.390625,202469.8775337838,198025.41680743243,199506.9037162162,4032622
2025-02-07,200494.5625,203457.53633004925,198025.4176416256,202469.8783866995,2206293
2025-02-10,195655.03125,200494.55499116608,194568.60755300353,195358.73387809188,2779740
2025-02-11,197235.28125,199013.06545756134,195556.26283174762,198519.23651101653,2488710
2025-02-12,196445.171875,197432.8298532554,193580.9637380593,194074.792727187,2884072
2025-02-13,205926.671875,205926.671875,195655.02972871703,196346.39025779377,3574410
2025-02-14,207408.15625,209383.4720238095,203951.35364583333,206420.49836309522,2598656
2025-02-17,209383.46875,213334.10023584907,208395.81087853774,208889.63981426886,2497922
2025-02-18,207408.15625,212346.4456845238,204445.18258928572,209383.4720238095,1937894
2025-02-19,215803.265625,216790.92359124715,211358.80477688788,213334.12070938217,3537720
2025-02-20,209383.46875,215803.2449145047,208395.81087853774,214321.75810731133,3080242
2025-02-21,206914.328125,208395.81496121717,202963.6965617542,206914.328125,2601151
2025-02-24,202469.859375,202469.859375,198519.22797256097,200000.7147484756,3087127
2025-02-25,198025.421875,199506.90882169575,196741.466521197,197334.0612998753,3651613
2025-02-26,200494.5625,203457.53633004925,196148.86754926108,196543.930726601,3849749
2025-02-27,198013.453125,203778.9050734187,196920.00534167924,203281.8833537274,3993419
2025-02-28,189067.03125,191850.35242507886,187575.9663347792,190458.69183753943,5533027
2025-03-04,184991.453125,186383.1137073482,182903.9622514777,183699.19686996238,5424556
2025-03-05,191949.765625,193242.0219445883,185488.48402705853,187078.9533434749,4162368
2025-03-06,191253.9375,192844.40683471935,189166.44649818089,192347.38516761956,2540131
2025-03-07,191253.9375,191651.55483367984,186780.74249610188,189862.27683212058,2700590
2025-03-10,186780.734375,190359.29022252528,186184.30840041244,186383.1170586083,2441476
2025-03-11,186681.328125,187874.18006190096,180220.0468001198,181015.28142472045,3521800
2025-03-12,197715.21875,198162.53824943438,188570.02009489693,191253.93709150326,4064278
2025-03-13,198510.453125,203281.86111198048,194335.4711363921,201293.77445073862,3883033
2025-03-14,203281.859375,204772.9243581907,197317.59944223717,197317.59944223717,3397462
2025-03-17,204772.921875,208252.07346025485,202287.81359981795,205766.96518507283,2584679
2025-03-18,201790.796875,207755.05688115762,199802.71020628078,207258.03521397783,2696191
2025-03-19,204275.90625,208252.07960766423,199802.71122262772,200796.7545620438,3102000
2025-03-20,208749.09375,209743.13705357144,204275.89888392857,205766.96383928572,2779557
2025-03-21,214216.328125,218192.5012688515,210737.17662412993,212228.24155307424,5731880
2025-03-24,210240.15625,213222.28612588652,208252.06966607564,210240.15625,1611040
2025-03-25,206760.984375,214216.30833082934,206760.984375,213222.26513671875,2262656
2025-03-26,212725.265625,214216.33057096964,207258.02748977806,207755.04913843458,2058540
2025-03-27,205766.96875,210737.18538647343,205269.94708635265,206761.0120772947,2287220
2025-03-28,198112.8125,203281.83721149023,197715.19521450077,201790.77239086805,2673553
2025-03-31,189564.046875,194335.4544523466,189365.23822594387,192347.36796178552,4561715
2025-04-01,195826.53125,197317.59620875635,190856.3147208122,192446.7840101523,2317253
2025-04-02,196721.15625,200299.7118967913,196124.7303088681,197615.79516169784,2764223
2025-04-03,193440.828125,193440.828125,187078.95094103288,188470.6115750257,4177747
2025-04-04,181114.6875,188470.60784851812,177337.3229967069,186780.73425493963,9182017
2025-04-07,163818.34375,171770.69053398058,163818.34375,166999.28246359222,7879050
2025-04-08,168490.34375,172068.89972345132,167198.08742625368,170975.45206489676,4965171
2025-04-09,164017.140625,168987.35700757577,161730.84108901516,168987.35700757577,8035679
2025-04-10,182108.734375,188768.8245513783,178927.79578329696,188570.01588939683,7836984
2025-04-11,179723.03125,180717.07456443584,175051.02767215154,176740.90130669248,3223735
2025-04-14,179126.609375,183301.59139150943,176939.71403301886,181810.52638561322,3466194
2025-04-15,179524.21875,181313.49667774086,178629.57978612956,179126.60143272424,1915455
2025-04-16,172963.546875,176442.6986799569,172466.5251885776,175448.65530711206,2933428
2025-04-17,173957.5625,174355.17978571428,170776.62421428572,171074.83717857144,2989493
2025-04-18,173957.5625,174454.58410714287,171770.66742857144,172963.51928571428,1305152
